continent,country,locationId,longitude,latitude,currentConfirmedCount,confirmedCount,suspectedCount,curedCount,deadCount,updateTime
Asia,China,951001,104.195397,35.86166,3203,82451,0,75937,3311,2020-03-30 11:40:31
Asia,Cyprus,955005,33.429859,35.126413,208,214,0,0,6,2020-03-30 11:40:31
Africa,Burkina Faso,982002,-1.561593,12.238333,187,222,0,23,12,2020-03-30 11:40:31
Asia,Japan,951002,138.252924,36.204824,1433,1893,0,404,56,2020-03-30 11:40:31
Europe,Republic of Serbia,965013,null,null,737,750,0,0,13,2020-03-30 11:40:31
Africa,Egypt,981002,30.802498,26.820553,437,609,0,132,40,2020-03-30 11:40:31
Europe,Belgium,961001,4.469936,50.503887,10055,10836,0,350,431,2020-03-30 11:40:31
Africa,Ghana,982006,-1.023194,7.946527,145,152,0,2,5,2020-03-30 11:40:31
Oceania,New Zealand,990007,174.885971,-40.900557,538,589,4,50,1,2020-03-30 11:40:31
South America,Brazil,973003,-51.92528,-14.235004,4120,4256,0,0,136,2020-03-30 11:40:31
Asia,Philippines,952008,121.774017,12.879721,1305,1418,0,42,71,2020-03-30 11:40:31
South America,Argentina,973001,-63.616672,-38.416097,739,820,0,1,80,2020-03-30 11:40:31
Africa,Tunisia,981006,9.537499,33.886917,304,312,0,0,8,2020-03-30 11:40:31
Europe,Luxembourg,961004,6.129583,49.815273,1929,1950,0,0,21,2020-03-30 11:40:31
Europe,Albania,965001,20.168331,41.153332,192,212,0,10,10,2020-03-30 11:40:31
North America,Dominican Republic,974006,-70.162651,18.735693,561,581,0,0,20,2020-03-30 11:40:31
Europe,Poland,963006,19.145136,51.919438,1827,1862,0,13,22,2020-03-30 11:40:31
Europe,Spain,965015,-3.74922,40.463667,59984,78797,0,12285,6528,2020-03-30 11:40:31
Europe,Netherlands,961006,5.291266,52.132633,7141,10866,0,2954,771,2020-03-30 11:40:31
Asia,United Arab Emirates,955019,53.847818,23.424076,509,570,0,58,3,2020-03-30 11:40:31
North America,Canada,971001,-106.346771,56.130366,5909,6320,0,345,66,2020-03-30 11:40:31
