Country,Province,Longitude,Latitude,ConfirmedCount,DeadCount,CuredCount,LastUpdateTime
China,Hubei,112.2707,30.9756,67800,3139,58946,2020-03-21 10:13:08
Italy,Italy,12.5674,41.8719,53578,4825,6072,2020-03-21 17:43:03
Spain,Spain,-3.7492,40.4637,25374,1375,2125,2020-03-21 13:13:30
Germany,Germany,10.4515,51.1657,22213,84,233,2020-03-21 20:43:02
Iran,Iran,53.688,32.4279,20610,1556,7635,2020-03-21 11:13:12
France,France,2.2137,46.2276,14282,562,12,2020-03-21 20:43:02
US,New York,-74.9481,42.1657,11710,60,0,2020-03-21 22:43:04
"Korea, South","Korea, South",127.7669,35.9078,8799,102,1540,2020-03-21 11:13:12
Switzerland,Switzerland,8.2275,46.8182,6575,75,15,2020-03-21 20:43:02
United Kingdom,United Kingdom,-3.4360000000000004,55.3781,5018,233,65,2020-03-21 20:43:03
Netherlands,Netherlands,5.2913,52.1326,3631,136,2,2020-03-21 14:43:04
Belgium,Belgium,4.4699,50.5039,2815,67,263,2020-03-21 11:13:12
Austria,Austria,14.5501,47.5162,2814,8,9,2020-03-21 14:43:03
Norway,Norway,8.4689,60.472,2118,7,1,2020-03-21 17:13:07
US,Washington,-121.4905,47.4009,1793,94,0,2020-03-21 22:43:04
Sweden,Sweden,18.6435,60.1282,1763,20,16,2020-03-21 14:43:03
China,Guangdong,113.4244,23.3417,1400,8,1325,2020-03-21 12:43:08
US,California,-119.6816,36.1162,1364,24,0,2020-03-21 22:43:04
US,New Jersey,-74.521,40.2989,1327,16,0,2020-03-21 19:43:03
Denmark,Denmark,9.5018,56.2639,1326,13,1,2020-03-21 12:43:08
Portugal,Portugal,-8.2245,39.3999,1280,12,5,2020-03-21 13:13:30
China,Henan,113.61399999999999,33.882,1273,22,1250,2020-03-14 09:53:08
China,Zhejiang,120.0934,29.1832,1236,1,1219,2020-03-21 03:43:03
Malaysia,Malaysia,101.9758,4.2105,1183,4,114,2020-03-21 11:43:06
Brazil,Brazil,-51.9253,-14.235,1021,15,2,2020-03-21 17:43:03
China,Hunan,111.7088,27.6104,1018,4,1014,2020-03-14 08:33:03
Japan,Japan,138.2529,36.2048,1007,35,232,2020-03-21 20:43:02
Czechia,Czechia,15.472999999999999,49.8175,995,0,6,2020-03-21 20:43:02
China,Anhui,117.2264,31.8257,990,6,984,2020-03-11 02:18:14
China,Jiangxi,115.7221,27.614,935,1,934,2020-03-12 02:13:04
Israel,Israel,34.8516,31.0461,883,1,36,2020-03-21 11:43:06
US,Michigan,-84.5361,43.3266,788,5,0,2020-03-21 22:43:04
Ireland,Ireland,-7.6921,53.1424,785,3,5,2020-03-21 20:43:02
China,Shandong,118.1498,36.3427,764,7,749,2020-03-21 00:43:02
US,Illinois,-88.9861,40.3495,753,6,0,2020-03-21 23:13:18
Pakistan,Pakistan,69.3451,30.3753,730,3,13,2020-03-21 20:13:21
Cruise Ship,Diamond Princess,139.6649,35.4498,712,8,325,2020-03-21 02:13:32
Luxembourg,Luxembourg,6.1296,49.8153,670,8,0,2020-03-21 13:13:30
Turkey,Turkey,35.2433,38.9637,670,9,0,2020-03-21 01:43:03
US,Florida,-81.6868,27.7663,659,13,0,2020-03-21 23:13:18
China,Jiangsu,119.455,32.9711,631,0,631,2020-03-15 01:53:02
US,Louisiana,-91.8678,31.1695,585,16,0,2020-03-21 15:43:05
US,Texas,-97.5635,31.0545,581,5,0,2020-03-21 23:13:17
China,Chongqing,107.874,30.0572,576,6,570,2020-03-15 03:53:04
China,Sichuan,102.7103,30.6171,542,3,536,2020-03-21 01:13:11
Chile,Chile,-71.543,-35.6751,537,0,6,2020-03-21 14:43:03
Poland,Poland,19.1451,51.9194,536,5,1,2020-03-21 20:43:02
Greece,Greece,21.8243,39.0742,530,13,19,2020-03-21 17:43:03
US,Massachusetts,-71.5301,42.2302,525,1,0,2020-03-21 23:13:18
Finland,Finland,25.7482,61.9241,523,1,10,2020-03-21 20:43:02
US,Georgia,-83.6431,33.0406,507,14,0,2020-03-21 17:43:03
Ecuador,Ecuador,-78.1834,-1.8312,506,7,3,2020-03-21 20:43:02
China,Beijing,116.4142,40.1824,504,8,396,2020-03-21 05:13:04
China,Heilongjiang,127.7615,47.861999999999995,484,13,463,2020-03-20 02:13:46
Qatar,Qatar,51.1839,25.3548,481,0,27,2020-03-21 20:43:02
Iceland,Iceland,-19.0208,64.9631,473,1,22,2020-03-21 17:13:18
Indonesia,Indonesia,113.9213,-0.7893,450,38,15,2020-03-21 11:43:06
Australia,New South Wales,151.2093,-33.8688,436,6,4,2020-03-21 13:13:35
Singapore,Singapore,103.8198,1.3521,432,2,140,2020-03-21 13:13:30
Canada,British Columbia,-127.6476,53.7267,424,10,4,2020-03-21 21:13:30
Thailand,Thailand,100.9925,15.87,411,1,42,2020-03-21 12:13:19
US,Pennsylvania,-77.2098,40.5908,396,2,0,2020-03-21 23:13:17
Saudi Arabia,Saudi Arabia,45.0792,23.8859,392,0,16,2020-03-21 14:43:03
US,Colorado,-105.3111,39.0598,390,4,0,2020-03-21 23:13:18
Slovenia,Slovenia,14.9955,46.1512,383,1,0,2020-03-21 14:43:03
China,Shanghai,121.4491,31.201999999999998,380,3,327,2020-03-21 04:43:06
Canada,Ontario,-85.3232,51.2538,377,3,6,2020-03-21 21:13:30
US,Tennessee,-86.6923,35.7478,371,1,0,2020-03-21 23:13:18
Romania,Romania,24.9668,45.9432,367,0,52,2020-03-21 13:13:32
India,India,78.9629,20.5937,330,4,23,2020-03-21 17:43:03
China,Hebei,114.5149,38.0428,318,6,310,2020-03-13 11:09:03
Peru,Peru,-75.0152,-9.19,318,5,1,2020-03-21 20:43:02
Philippines,Philippines,121.774,12.8797,307,19,13,2020-03-21 12:13:19
Estonia,Estonia,25.0136,58.5953,306,0,1,2020-03-21 12:13:19
Russia,Russia,105.3188,61.523999999999994,306,1,12,2020-03-21 14:43:03
Bahrain,Bahrain,50.5577,26.0667,305,1,125,2020-03-21 17:43:03
China,Fujian,117.9874,26.0789,303,1,295,2020-03-21 01:13:10
Egypt,Egypt,30.8025,26.8206,294,10,41,2020-03-21 20:43:02
US,Wisconsin,-89.6165,44.2685,282,4,0,2020-03-21 23:13:18
China,Hong Kong,114.2,22.3,273,4,98,2020-03-21 09:13:14
China,Guangxi,108.7881,23.8298,254,2,250,2020-03-20 00:43:02
US,North Carolina,-79.8064,35.6301,253,0,0,2020-03-21 23:13:18
China,Shaanxi,108.8701,35.1917,248,3,239,2020-03-21 01:43:03
US,Ohio,-82.7649,40.3888,248,3,0,2020-03-21 19:43:03
South Africa,South Africa,22.9375,-30.5595,240,0,0,2020-03-21 12:13:19
Australia,Victoria,144.9631,-37.8136,229,0,8,2020-03-21 13:13:35
Australia,Queensland,153.4,-28.0167,221,0,8,2020-03-21 13:13:35
Iraq,Iraq,43.6793,33.2232,214,17,51,2020-03-21 17:43:03
Croatia,Croatia,15.2,45.1,206,1,5,2020-03-21 17:43:03
Mexico,Mexico,-102.5528,23.6345,203,2,4,2020-03-21 12:13:19
Panama,Panama,-80.7821,8.538,200,1,0,2020-03-21 02:13:32
Colombia,Colombia,-74.2973,4.5709,196,0,1,2020-03-21 17:43:03
Canada,Alberta,-116.5765,53.9333,195,1,0,2020-03-21 02:43:03
US,Connecticut,-72.7554,41.5978,194,4,0,2020-03-21 02:43:03
US,Maryland,-76.8021,39.0639,193,2,0,2020-03-21 23:13:18
Lebanon,Lebanon,35.8623,33.8547,187,4,4,2020-03-21 12:13:19
Canada,Quebec,-73.5491,52.9399,181,5,0,2020-03-21 21:13:30
Slovakia,Slovakia,19.699,48.669,178,1,0,2020-03-21 20:43:02
China,Yunnan,101.48700000000001,24.974,176,2,172,2020-03-16 23:53:02
Kuwait,Kuwait,47.4818,29.3117,176,0,27,2020-03-21 12:13:19
Serbia,Serbia,21.0059,44.0165,171,1,1,2020-03-21 20:43:02
US,South Carolina,-80.945,33.8569,171,3,0,2020-03-21 23:13:17
China,Hainan,109.7453,19.1959,168,6,161,2020-03-16 14:38:45
Bulgaria,Bulgaria,25.4858,42.7339,163,3,3,2020-03-21 17:43:03
US,Nevada,-117.0554,38.3135,161,2,0,2020-03-21 02:43:03
Armenia,Armenia,45.0382,40.0691,160,0,1,2020-03-21 12:13:19
Argentina,Argentina,-63.6167,-38.4161,158,4,3,2020-03-21 15:13:44
US,Virginia,-78.17,37.7693,156,2,0,2020-03-21 19:43:03
Taiwan*,Taiwan*,121.0,23.7,153,2,28,2020-03-21 07:43:02
United Arab Emirates,United Arab Emirates,53.8478,23.4241,153,2,38,2020-03-21 17:43:03
China,Guizhou,106.8748,26.8154,146,2,144,2020-03-18 01:53:03
San Marino,San Marino,12.4578,43.9424,144,20,4,2020-03-21 17:43:03
US,Mississippi,-89.6787,32.7416,140,1,0,2020-03-21 17:13:44
Algeria,Algeria,1.6596,28.0339,139,15,32,2020-03-21 17:43:03
US,Minnesota,-93.9002,45.6945,138,1,0,2020-03-21 19:43:03
China,Tianjin,117.323,39.3054,137,3,133,2020-03-19 23:43:03
US,Utah,-111.8624,40.15,136,0,0,2020-03-21 23:13:17
China,Gansu,103.8343,36.0611,134,2,113,2020-03-21 03:13:13
China,Shanxi,112.2922,37.5777,133,0,133,2020-03-13 11:09:03
US,Alabama,-86.9023,32.3182,131,0,0,2020-03-21 23:13:18
US,Indiana,-86.2583,39.8494,128,4,0,2020-03-21 23:13:18
China,Liaoning,122.6085,41.2956,126,2,122,2020-03-20 01:43:03
Latvia,Latvia,24.6032,56.8796,124,0,1,2020-03-21 12:13:19
US,Arkansas,-92.3731,34.9697,122,0,0,2020-03-21 23:13:17
US,Arizona,-111.4312,33.7298,118,1,0,2020-03-21 23:13:18
Costa Rica,Costa Rica,-83.7534,9.7489,117,2,2,2020-03-21 20:43:02
US,Oregon,-122.0709,44.571999999999996,114,5,0,2020-03-21 23:13:18
Dominican Republic,Dominican Republic,-70.1627,18.7357,112,2,0,2020-03-21 15:13:45
Uruguay,Uruguay,-55.7658,-32.5228,110,0,0,2020-03-21 12:13:19
Hungary,Hungary,19.5033,47.1625,103,4,7,2020-03-21 12:13:19
Morocco,Morocco,-7.0926,31.7917,96,3,3,2020-03-21 20:43:02
Vietnam,Vietnam,108.2772,14.0583,94,0,17,2020-03-21 17:43:03
Bosnia and Herzegovina,Bosnia and Herzegovina,17.6791,43.9159,93,1,2,2020-03-21 17:43:03
China,Jilin,126.1923,43.6661,93,1,92,2020-03-16 00:22:10
Denmark,Faroe Islands,-6.9118,61.8926,92,0,0,2020-03-21 12:43:08
Australia,Western Australia,115.8605,-31.9505,90,1,0,2020-03-21 13:13:35
Andorra,Andorra,1.5218,42.5063,88,0,1,2020-03-21 15:13:45
US,Kentucky,-84.6701,37.6681,87,3,0,2020-03-21 23:13:17
Jordan,Jordan,36.2384,30.5852,85,0,1,2020-03-20 20:43:02
North Macedonia,North Macedonia,21.7453,41.6086,85,0,1,2020-03-21 17:43:03
Cyprus,Cyprus,33.4299,35.1264,84,0,0,2020-03-21 17:43:03
Brunei,Brunei,114.7277,4.5353,83,0,2,2020-03-21 12:43:08
Lithuania,Lithuania,23.8813,55.1694,83,1,1,2020-03-21 17:43:03
Moldova,Moldova,28.3699,47.4116,80,1,1,2020-03-21 17:43:03
Sri Lanka,Sri Lanka,80.7718,7.8731,77,0,1,2020-03-21 17:43:03
US,District of Columbia,-77.0268,38.8974,98,1,0,2020-03-21 02:43:03
Albania,Albania,20.1683,41.1533,76,2,2,2020-03-21 12:43:08
Belarus,Belarus,27.9534,53.7098,76,0,15,2020-03-21 20:43:03
China,Xinjiang,85.2401,41.1129,76,3,73,2020-03-11 02:18:14
China,Inner Mongolia,113.9448,44.0935,75,1,74,2020-03-19 01:03:02
China,Ningxia,106.1655,37.2692,75,0,75,2020-03-16 14:38:45
US,Missouri,-92.2884,38.4561,74,3,0,2020-03-21 17:43:03
Malta,Malta,14.3754,35.9375,73,0,2,2020-03-21 15:13:45
US,Maine,-69.3819,44.6939,70,0,0,2020-03-21 23:13:18
Venezuela,Venezuela,-66.5897,6.4238,70,0,0,2020-03-21 20:43:03
US,Iowa,-93.2105,42.0115,68,0,0,2020-03-21 19:43:03
Australia,South Australia,138.6007,-34.9285,67,0,3,2020-03-21 13:13:35
US,Rhode Island,-71.5118,41.6809,66,0,0,2020-03-21 19:43:03
Burkina Faso,Burkina Faso,-1.5616,12.2383,64,2,5,2020-03-21 13:13:32
Tunisia,Tunisia,9.5375,33.8869,60,1,0,2020-03-21 15:13:45
US,Kansas,-96.7265,38.5266,57,2,0,2020-03-21 23:13:18
US,New Hampshire,-71.5639,43.4525,55,0,0,2020-03-21 00:13:22
Azerbaijan,Azerbaijan,47.5769,40.1431,53,1,11,2020-03-21 20:43:03
Cambodia,Cambodia,104.991,12.5657,53,0,1,2020-03-21 17:43:03
Guadeloupe,Guadeloupe,-61.551,16.265,53,0,0,2020-03-21 13:13:35
Kazakhstan,Kazakhstan,66.9237,48.0196,53,0,0,2020-03-21 12:43:08
US,Oklahoma,-96.9289,35.5653,53,1,0,2020-03-21 17:43:03
New Zealand,New Zealand,174.886,-40.9006,52,0,0,2020-03-21 02:13:32
Oman,Oman,55.9754,21.4735,52,0,12,2020-03-21 12:43:08
Georgia,Georgia,43.3569,42.3154,49,0,1,2020-03-21 17:43:03
Trinidad and Tobago,Trinidad and Tobago,-61.2225,10.6918,49,0,1,2020-03-21 17:43:03
US,Diamond Princess,139.638,35.4437,49,0,0,2020-03-20 19:43:03
Senegal,Senegal,-14.4524,14.4974,47,0,5,2020-03-21 01:43:03
Ukraine,Ukraine,31.1656,48.3794,47,3,1,2020-03-21 21:13:10
Reunion,Reunion,55.5364,-21.1151,45,0,0,2020-03-21 13:13:35
US,Delaware,-75.5071,39.3185,45,0,0,2020-03-21 23:13:18
US,New Mexico,-106.2485,34.8405,43,0,0,2020-03-20 21:43:03
Uzbekistan,Uzbekistan,64.5853,41.3775,43,0,0,2020-03-21 21:13:10
US,Nebraska,-98.2681,41.1254,38,0,0,2020-03-21 17:43:03
Liechtenstein,Liechtenstein,9.5554,47.166000000000004,37,0,0,2020-03-21 12:43:08
US,Hawaii,-157.4983,21.0943,37,0,0,2020-03-21 02:43:03
US,Idaho,-114.4788,44.2405,36,0,0,2020-03-21 02:43:03
Martinique,Martinique,-61.0242,14.6415,32,1,0,2020-03-20 10:13:37
United Kingdom,Channel Islands,-2.3644,49.3723,32,0,0,2020-03-21 21:13:29
US,Vermont,-72.7107,44.0459,29,2,0,2020-03-20 21:43:03
US,North Dakota,-99.78399999999999,47.5289,28,0,0,2020-03-21 23:13:18
Cameroon,Cameroon,11.5021,3.8480000000000003,27,0,0,2020-03-21 12:43:08
Canada,Saskatchewan,-106.4509,52.9399,26,0,0,2020-03-21 02:43:03
Bangladesh,Bangladesh,90.3563,23.685,25,2,3,2020-03-21 12:43:08
Afghanistan,Afghanistan,67.71,33.9391,24,0,1,2020-03-20 14:43:04
Honduras,Honduras,-86.2419,15.2,24,0,0,2020-03-20 14:13:08
Congo (Kinshasa),Congo (Kinshasa),21.7587,-4.0383,23,1,0,2020-03-21 12:43:08
US,Grand Princess,-122.6655,37.6489,23,0,0,2020-03-20 19:43:03
US,Wyoming,-107.3025,42.756,23,0,0,2020-03-21 19:43:03
Nigeria,Nigeria,8.6753,9.082,22,0,1,2020-03-21 15:13:46
Canada,Nova Scotia,-63.7443,44.681999999999995,21,0,0,2020-03-21 21:13:30
