continent,country,locationId,longitude,latitude,currentConfirmedCount,confirmedCount,suspectedCount,curedCount,deadCount,updateTime
Europe,Moldova,964005,28.369885,47.411631,2000,2548,0,478,70,1587430449.405
Africa,Chad,982003,18.732207,15.454166,33,33,0,0,0,1587430449.405
South America,Peru,973008,-75.015152,-9.189967,8912,16325,0,6968,445,1587430449.405
North America,Cuba,974004,-77.781167,21.521757,1001,1035,0,0,34,1587430449.405
Africa,Djibouti,985002,42.590275,11.825138,742,846,0,102,2,1587430449.405
Africa,Nigeria,982013,8.675277,9.081999,436,627,0,170,21,1587430449.405
Europe,Netherlands,961006,5.291266,52.132633,29363,33405,0,291,3751,1587430449.405
North America,Antigua and Barbuda,974001,-61.796428,17.060816,20,23,0,0,3,1587430449.405
Asia,Syria,955017,38.996815,34.802075,31,39,0,5,3,1587430449.405
Africa,Uganda,985010,32.290275,1.373333,27,55,0,28,0,1587430449.405
Africa,Cameroon,983001,12.354722,7.369722,669,1016,0,305,42,1587430449.405
Africa,Central African Republic,983002,20.939444,6.611111,4,14,0,10,0,1587430449.405
Africa,Benin,982001,2.315834,9.30769,26,54,0,27,1,1587430449.405
Asia,Jordan,955010,36.238414,30.585164,136,425,0,282,7,1587430449.405
Asia,United Arab Emirates,955019,53.847818,23.424076,5862,7265,0,1360,43,1587430449.405
South America,Guyana,973007,-58.93018,4.860416,49,65,0,9,7,1587430449.405
North America,Canada,971001,-106.346771,56.130366,23298,36831,0,11843,1690,1587430449.405
Africa,Seychelles,985007,55.491977,-4.679574,11,11,0,0,0,1587430449.405
Africa,Namibia,984009,18.49041,-22.95764,13,16,0,3,0,1587430449.405
Asia,Qatar,955015,51.183884,25.354826,5451,6015,0,555,9,1587430449.405
Africa,Guinea,0,-9.696645,9.945587,495,622,0,122,5,1587430449.405
Europe,Luxembourg,961004,6.129583,49.815273,3242,3558,0,241,75,1587430449.405
Africa,Niger,982011,8.081666,17.607789,511,655,0,124,20,1587430449.405
Europe,Albania,965001,20.168331,41.153332,231,584,0,327,26,1587430449.405
South America,Uruguay,973011,-55.765835,-32.522779,220,528,0,298,10,1587430449.405
Asia,Azerbaijan,955003,47.576927,40.143105,626,1436,0,791,19,1587430449.405
Europe,Spain,965015,-3.74922,40.463667,98771,200210,0,80587,20852,1587430449.405
Africa,Sierra Leone,982015,-11.779889,8.460555,37,43,0,6,0,1587430449.405
Europe,Latvia,964003,24.603189,56.879635,670,739,0,64,5,1587430449.405
Europe,Poland,963006,19.145136,51.919438,8083,9596,0,1133,380,1587430449.405
North America,Honduras,972005,-86.241905,15.199999,426,472,0,0,46,1587430449.405
North America,Dominican Republic,974006,-70.162651,18.735693,4454,4680,0,0,226,1587430449.405
Africa,Sudan,981005,30.217636,12.862807,78,92,0,2,12,1587430449.405
Africa,Kenya,985005,37.906193,-0.023559,198,281,0,69,14,1587430449.405
Europe,Germany,963003,10.451526,51.165691,45768,141672,0,91500,4404,1587430449.405
Oceania,Guam,0,144.793731,13.444304,131,136,0,0,5,1587430449.405
North America,El Salvador,972003,-88.89653,13.794185,194,201,0,0,7,1587430449.405
Asia,Saudi Arabia,955016,45.079162,23.885942,8891,10484,0,1490,103,1587430449.405
Oceania,New Zealand,990007,174.885971,-40.900557,119,1105,4,974,12,1587430449.405
Africa,Ghana,982006,-1.023194,7.946527,934,1042,0,99,9,1587430449.405
Europe,Belgium,961001,4.469936,50.503887,25398,39983,0,8757,5828,1587430449.405
Europe,Monaco,961005,7.412841,43.750298,92,98,0,3,3,1587430449.405
