Country,Province,Longitude,Latitude,ConfirmedCount,DeadCount,CuredCount,LastUpdateTime
China,Hubei,104.195397,35.86166,33366,1068,2639,2020-02-11 23:33:02
China,Guangdong,104.195397,35.86166,1177,1,212,2020-02-11 14:03:05
China,Zhejiang,104.195397,35.86166,1117,0,270,2020-02-11 12:53:02
China,Henan,104.195397,35.86166,1105,7,218,2020-02-11 14:03:05
China,Hunan,104.195397,35.86166,912,1,247,2020-02-11 12:53:02
China,Anhui,104.195397,35.86166,860,4,105,2020-02-11 09:43:02
China,Jiangxi,104.195397,35.86166,804,1,128,2020-02-11 14:03:05
China,Jiangsu,104.195397,35.86166,515,0,93,2020-02-11 08:13:06
China,Chongqing,104.195397,35.86166,505,3,79,2020-02-11 23:53:02
China,Shandong,104.195397,35.86166,487,1,80,2020-02-11 11:23:04
China,Sichuan,104.195397,35.86166,417,1,85,2020-02-11 11:23:04
China,Heilongjiang,104.195397,35.86166,360,8,28,2020-02-11 11:23:04
China,Beijing,104.195397,35.86166,342,3,48,2020-02-11 03:03:07
China,Shanghai,104.195397,35.86166,303,1,52,2020-02-11 06:23:02
China,Fujian,104.195397,35.86166,267,0,45,2020-02-11 14:03:05
China,Hebei,104.195397,35.86166,239,2,48,2020-02-11 11:23:04
China,Shaanxi,104.195397,35.86166,219,0,32,2020-02-11 06:03:16
China,Guangxi,104.195397,35.86166,215,1,33,2020-02-11 11:23:04
China,Yunnan,104.195397,35.86166,153,0,20,2020-02-11 09:23:04
China,Hainan,104.195397,35.86166,144,3,20,2020-02-11 14:33:02
China,Guizhou,104.195397,35.86166,127,1,17,2020-02-11 14:03:05
China,Shanxi,104.195397,35.86166,124,0,30,2020-02-11 23:33:02
China,Liaoning,104.195397,35.86166,111,0,19,2020-02-11 12:53:02
China,Tianjin,104.195397,35.86166,106,2,10,2020-02-11 23:13:05
China,Gansu,104.195397,35.86166,86,2,24,2020-02-11 15:23:04
China,Jilin,104.195397,35.86166,81,1,18,2020-02-11 08:03:06
China,Inner Mongolia,104.195397,35.86166,58,0,5,2020-02-10 02:43:05
China,Xinjiang,104.195397,35.86166,55,0,3,2020-02-11 09:13:11
China,Ningxia,104.195397,35.86166,53,0,22,2020-02-11 10:03:08
China,Hong Kong,104.195397,35.86166,49,1,0,2020-02-11 09:43:02
Singapore,Singapore,103.819836,1.352083,47,0,9,2020-02-11 16:43:06
Thailand,Thailand,100.992541,15.870032,33,0,10,2020-02-11 18:43:04
South Korea,South Korea,-54.385628,-76.697372,28,0,3,2020-02-11 02:53:02
Japan,Japan,138.252924,36.204824,26,0,9,2020-02-11 02:53:02
China,Qinghai,104.195397,35.86166,18,0,5,2020-02-11 11:23:04
Malaysia,Malaysia,101.975766,4.210484,18,0,3,2020-02-11 03:13:13
China,Taiwan,104.195397,35.86166,18,0,1,2020-02-09 09:13:11
Germany,Germany,10.451526,51.165691,16,0,0,2020-02-11 19:33:03
Vietnam,Vietnam,108.277199,14.058324,15,0,6,2020-02-11 16:43:06
France,France,2.213749,46.227638,11,0,0,2020-02-08 09:53:01
China,Macau,104.195397,35.86166,10,0,1,2020-02-06 14:23:04
United Arab Emirates,United Arab Emirates,53.847818,23.424076,8,0,0,2020-02-10 23:03:09
Australia,Queensland,133.775136,-25.274398,5,0,0,2020-02-09 19:33:02
Australia,New South Wales,133.775136,-25.274398,4,0,2,2020-02-06 03:13:22
Australia,Victoria,133.775136,-25.274398,4,0,0,2020-02-01 18:12:49
Canada,British Columbia,-106.346771,56.130366,4,0,0,2020-02-07 05:43:03
India,India,78.96288,20.593684,3,0,0,2020-02-03 21:43:02
Italy,Italy,12.56738,41.87194,3,0,0,2020-02-07 17:53:02
Philippines,Philippines,121.774017,12.879721,3,1,0,2020-02-07 16:43:04
Australia,South Australia,133.775136,-25.274398,2,0,0,2020-02-02 22:33:07
Canada,"Toronto, ON",-106.346771,56.130366,2,0,0,2020-02-04 00:13:06
Russia,Russia,105.318756,61.52401,2,0,0,2020-01-31 16:13:45
Spain,Spain,-3.74922,40.463667,2,0,0,2020-02-09 20:33:03
Belgium,Belgium,4.469936,50.503887,1,0,0,2020-02-04 15:43:02
Cambodia,Cambodia,104.990963,12.565679,1,0,0,2020-01-31 08:15:53
Canada,"London, ON",-106.346771,56.130366,1,0,0,2020-02-04 00:03:11
Finland,Finland,25.748151,61.92411,1,0,0,2020-01-31 08:15:53
China,Tibet,104.195397,35.86166,1,0,0,2020-02-01 01:52:40
Nepal,Nepal,84.124008,28.394857,1,0,0,2020-01-31 08:15:53
Sri Lanka,Sri Lanka,80.771797,7.873054,1,0,1,2020-02-08 03:43:03
Sweden,Sweden,18.643501,60.128161,1,0,0,2020-02-01 02:13:26
