Country,Province,City,Longitude,Latitude,ConfirmedCount,DeadCount,CuredCount,LastUpdateTime
US,South Carolina,Abbeville,-82.46170658,34.22333378,3,0,0,2020-03-26 23:48:35
US,Louisiana,Acadia,-92.41419698,30.2950649,3,0,0,2020-03-26 23:48:35
US,Virginia,Accomack,-75.63234615,37.76707161,2,0,0,2020-03-26 23:48:35
US,Idaho,Ada,-116.24155159999998,43.4526575,39,0,0,2020-03-26 23:48:35
US,Iowa,Adair,-94.47105874,41.33075609,1,0,0,2020-03-26 23:48:35
US,Kentucky,Adair,-85.28129668,37.10459774,0,0,0,2020-03-26 23:48:35
US,Missouri,Adair,-92.60078167,40.19058551,1,0,0,2020-03-26 23:48:35
US,Oklahoma,Adair,-94.65859267,35.88494195,2,0,0,2020-03-26 23:48:35
US,Colorado,Adams,-104.3362578,39.87432092,50,0,0,2020-03-26 23:48:35
US,Idaho,Adams,-116.4545247,44.89333571,0,0,0,2020-03-26 23:48:35
US,Illinois,Adams,-91.18786813,39.98815591,1,0,0,2020-03-26 23:48:35
US,Indiana,Adams,-84.93671406,40.7457653,1,0,0,2020-03-26 23:48:35
US,Iowa,Adams,-94.69932645,41.02903567,0,0,0,2020-03-26 23:48:35
US,Mississippi,Adams,-91.35326037,31.47669768,3,0,0,2020-03-26 23:48:35
US,Nebraska,Adams,-98.50117804,40.52449420000001,1,0,0,2020-03-26 23:48:35
US,North Dakota,Adams,-102.5285397,46.09686891,0,0,0,2020-03-26 23:48:35
US,Ohio,Adams,-83.4718964,38.84541072,0,0,0,2020-03-26 23:48:35
US,Pennsylvania,Adams,-77.21610347,39.87140411,7,0,0,2020-03-26 23:48:35
US,Washington,Adams,-118.5601734,46.98299757,3,0,0,2020-03-26 23:48:35
US,Wisconsin,Adams,-89.76782777,43.96974651,0,0,0,2020-03-26 23:48:35
US,Vermont,Addison,-73.14130877,44.03217337,12,0,0,2020-03-26 23:48:35
US,South Carolina,Aiken,-81.63645384,33.54338026,2,0,0,2020-03-26 23:48:35
US,Minnesota,Aitkin,-93.4116826,46.60962049,0,0,0,2020-03-26 23:48:35
US,Florida,Alachua,-82.35928158,29.67866525,49,0,0,2020-03-26 23:48:35
US,North Carolina,Alamance,-79.39976137,36.0434701,4,0,0,2020-03-26 23:48:35
US,California,Alameda,-121.8929271,37.64629437,178,4,0,2020-03-26 23:48:35
US,Colorado,Alamosa,-105.7885451,37.57250606,0,0,0,2020-03-26 23:48:35
US,New York,Albany,-73.97723916,42.60060306,171,0,0,2020-03-26 23:48:35
US,Wyoming,Albany,-105.7235415,41.65498705,1,0,0,2020-03-26 23:48:35
US,Virginia,Albemarle,-78.55481085,38.02080697,6,0,0,2020-03-26 23:48:35
US,Michigan,Alcona,-83.59507875,44.6846864,0,0,0,2020-03-26 23:48:35
US,Mississippi,Alcorn,-88.57996173,34.88084463,0,0,0,2020-03-26 23:48:35
US,Alaska,Aleutians East,-161.9722021,55.32222414,0,0,0,2020-03-26 23:48:35
US,Alaska,Aleutians West,-110.4086433,52.72541116,0,0,0,2020-03-26 23:48:35
US,Illinois,Alexander,-89.32910838,37.18049267,0,0,0,2020-03-26 23:48:35
US,North Carolina,Alexander,-81.17751948,35.922379600000006,0,0,0,2020-03-26 23:48:35
US,Virginia,Alexandria,-77.08183073,38.814003,14,0,0,2020-03-26 23:48:35
US,Oklahoma,Alfalfa,-98.32408495,36.73090616,0,0,0,2020-03-26 23:48:35
US,Michigan,Alger,-86.60260122,46.41292944,0,0,0,2020-03-26 23:48:35
US,Iowa,Allamakee,-91.37860922,43.28383218,7,0,0,2020-03-26 23:48:35
US,Michigan,Allegan,-85.89102866,42.59147037,1,0,0,2020-03-26 23:48:35
US,Maryland,Allegany,-78.69280486,39.62357628,0,0,0,2020-03-26 23:48:35
US,New York,Allegany,-78.02750466,42.25748406,2,0,0,2020-03-26 23:48:35
US,North Carolina,Alleghany,-81.12857041,36.49360862,0,0,0,2020-03-26 23:48:35
US,Virginia,Alleghany,-80.00222498,37.78636074,0,0,0,2020-03-26 23:48:35
US,Pennsylvania,Allegheny,-79.98167747,40.46809875,133,2,0,2020-03-26 23:48:35
US,Indiana,Allen,-85.06800636,41.09194313,8,1,0,2020-03-26 23:48:35
US,Kansas,Allen,-95.30030847,37.88582951,0,0,0,2020-03-26 23:48:35
US,Kentucky,Allen,-86.19457544,36.75197631,1,0,0,2020-03-26 23:48:35
US,Louisiana,Allen,-92.82442028,30.65385745,5,0,0,2020-03-26 23:48:35
US,Ohio,Allen,-84.10802343,40.77285242,0,0,0,2020-03-26 23:48:35
US,South Carolina,Allendale,-81.35321066,32.98837386,0,0,0,2020-03-26 23:48:35
US,Michigan,Alpena,-83.62212411,45.03477666,0,0,0,2020-03-26 23:48:35
US,California,Alpine,-119.8223594,38.59678594,0,0,0,2020-03-26 23:48:35
US,California,Amador,-120.65696,38.44583082,2,0,0,2020-03-26 23:48:35
US,Virginia,Amelia,-77.98584649,37.34081025,1,0,0,2020-03-26 23:48:35
US,Virginia,Amherst,-79.14548696,37.60308293,1,0,0,2020-03-26 23:48:35
US,Mississippi,Amite,-90.80501621,31.17467303,1,0,0,2020-03-26 23:48:35
US,Alaska,Anchorage,-149.14269860000005,61.14998174,28,0,0,2020-03-26 23:48:35
US,Kansas,Anderson,-95.29272815,38.21413251,0,0,0,2020-03-26 23:48:35
US,Kentucky,Anderson,-84.99171713,38.00671029,2,1,0,2020-03-26 23:48:35
US,South Carolina,Anderson,-82.63959517,34.51828081,19,0,0,2020-03-26 23:48:35
US,Tennessee,Anderson,-84.19965764,36.12684348,3,0,0,2020-03-26 23:48:35
US,Texas,Anderson,-95.65354823,31.81534745,0,0,0,2020-03-26 23:48:35
US,Missouri,Andrew,-94.80163024,39.98492163,0,0,0,2020-03-26 23:48:35
US,Texas,Andrews,-102.6376548,32.30468633,0,0,0,2020-03-26 23:48:35
US,Maine,Androscoggin,-70.20380627,44.1664747,5,0,0,2020-03-26 23:48:35
US,Texas,Angelina,-94.60901487,31.25457347,1,0,0,2020-03-26 23:48:35
US,Maryland,Anne Arundel,-76.60329337,39.00670238,41,0,0,2020-03-26 23:48:35
US,Minnesota,Anoka,-93.24604565,45.27476015,8,0,0,2020-03-26 23:48:35
US,North Carolina,Anson,-80.09953279,34.97403241,0,0,0,2020-03-26 23:48:35
US,Nebraska,Antelope,-98.0666283,42.17695516,0,0,0,2020-03-26 23:48:35
