continent,country,locationId,longitude,latitude,currentConfirmedCount,confirmedCount,suspectedCount,curedCount,deadCount,updateTime
Europe,Austria,963001,14.550072,47.516231,2769,14985,0,11694,522,2020-04-25 08:55:39
Africa,Cameroon,983001,12.354722,7.369722,684,1401,0,668,49,2020-04-25 08:55:39
North America,Cuba,974004,-77.781167,21.521757,1192,1235,0,0,43,2020-04-25 08:55:39
Europe,Germany,963003,10.451526,51.165691,38262,150383,0,106800,5321,2020-04-25 08:55:39
Africa,Niger,982011,8.081666,17.607789,368,681,0,289,24,2020-04-25 08:55:39
North America,Canada,971001,-106.346771,56.130366,26350,43889,0,15202,2337,2020-04-25 08:49:34
Asia,China,951001,104.195397,35.86166,1318,84324,0,78364,4642,2020-04-25 08:49:34
South America,Colombia,973005,-74.297333,4.570868,4571,4881,0,85,225,2020-04-25 08:40:26
Asia,Bangladesh,953001,90.356331,23.684994,4446,4689,0,112,131,2020-04-25 08:40:26
Europe,Czech Republic,963002,15.472962,49.817492,4651,7236,0,2371,214,2020-04-25 08:40:26
South America,Guyana,973007,-58.93018,4.860416,56,73,0,9,8,2020-04-25 08:40:26
Europe,Finland,962002,25.748151,61.92411,4208,4395,0,10,177,2020-04-25 08:40:26
North America,Mexico,971003,-102.552784,23.634501,11650,12872,0,1,1221,2020-04-25 08:34:20
South America,Chile,973004,-71.542969,-35.675147,5805,12306,0,6327,174,2020-04-25 08:34:20
Africa,Sudan,981005,30.217636,12.862807,144,174,0,14,16,2020-04-25 08:34:20
Asia,Singapore,952009,103.819836,1.352083,11380,12075,0,683,12,2020-04-25 08:34:20
Asia,Japan,951002,138.252924,36.204824,11445,12859,0,1069,345,2020-04-25 08:34:20
Asia,Lebanon,955012,35.862285,33.854721,534,696,0,140,22,2020-04-25 08:08:49
Asia,India,953003,78.96288,20.593684,17915,23452,0,4814,723,2020-04-25 08:08:49
North America,El Salvador,972003,-88.89653,13.794185,242,250,0,0,8,2020-04-25 08:08:49
Europe,Greece,965007,21.824312,39.074208,2341,2490,0,19,130,2020-04-25 07:44:23
South America,Bolivia,973002,-63.588653,-16.290154,632,672,0,0,40,2020-04-25 07:44:23
Africa,Swaziland,984010,31.465866,-26.522503,29,40,0,10,1,2020-04-25 07:44:23
Europe,Bulgaria,965004,25.48583,42.733883,981,1188,0,153,54,2020-04-25 07:44:23
Africa,Gabon,983004,11.609444,-0.803689,143,172,0,26,3,2020-04-25 07:44:23
North America,Martinique,0,-61.024174,14.641528,156,170,0,0,14,2020-04-25 07:44:23
Asia,Thailand,952010,100.992541,15.870032,314,2854,0,2490,50,2020-04-25 07:44:23
Europe,Isle of Man,0,-4.548056,54.236107,291,307,0,0,16,2020-04-25 07:44:23
Europe,Romania,965011,24.96676,45.943161,7048,10417,0,2817,552,2020-04-25 07:44:23
Africa,South Africa,984011,22.937506,-30.559482,2668,4220,0,1473,79,2020-04-25 07:44:23
Asia,United Arab Emirates,955019,53.847818,23.424076,7457,9281,0,1760,64,2020-04-25 07:44:23
Africa,Uganda,985010,32.290275,1.373333,47,75,0,28,0,2020-04-25 07:44:23
Europe,Poland,963006,19.145136,51.919438,8454,10892,0,1944,494,2020-04-25 07:44:23
Europe,Albania,965001,20.168331,41.153332,323,678,0,327,28,2020-04-25 07:44:23
Africa,Guinea,0,-9.696645,9.945587,757,954,0,191,6,2020-04-25 07:44:23
Asia,Philippines,952008,121.774017,12.879721,5953,7192,0,762,477,2020-04-25 07:44:23
Africa,Tunisia,981006,9.537499,33.886917,690,922,0,194,38,2020-04-25 07:44:23
Europe,Bosnia and Herzegovina,965003,17.679076,43.915886,820,1413,0,538,55,2020-04-25 07:44:23
Europe,Malta,965019,14.375416,35.937496,398,445,0,44,3,2020-04-25 07:44:23
Africa,Egypt,981002,30.802498,26.820553,2723,4092,0,1075,294,2020-04-25 07:44:23
North America,Puerto Rico,0,-66.590149,18.220833,1352,1416,0,0,64,2020-04-25 07:44:23
Africa,Burkina Faso,982002,-1.561593,12.238333,163,629,0,425,41,2020-04-25 07:44:23
Oceania,Australia,990001,133.775136,-25.274398,1496,6667,0,5095,76,2020-04-25 07:44:23
Asia,Brunei,952002,114.727669,4.535277,22,138,0,115,1,2020-04-25 07:36:16
Africa,Morocco,981004,-7.09262,31.791702,3114,3758,0,486,158,2020-04-25 07:36:16
Europe,Andorra,965002,1.601554,42.546245,347,731,0,344,40,2020-04-25 07:36:16
Asia,Bahrain,955004,50.637772,25.930414,1385,2506,0,1113,8,2020-04-25 07:36:16
Asia,Uzbekistan,954005,64.585262,41.377491,1210,1778,0,561,7,2020-04-25 07:36:16
Europe,Russia,964006,105.318756,61.52401,62439,68622,0,5568,615,2020-04-25 07:36:16
Europe,Slovenia,965014,14.995463,46.151241,1078,1373,0,215,80,2020-04-25 07:36:16
Africa,Ethiopia,985004,40.489673,9.145,89,117,0,25,3,2020-04-25 07:36:16
South America,Paraguay,973009,-58.443832,-23.442503,174,213,0,30,9,2020-04-25 07:36:16
Europe,Denmark,962001,9.501785,56.26392,5059,8210,0,2748,403,2020-04-25 07:36:16
Africa,Mali,982010,-3.996166,17.570692,217,325,0,87,21,2020-04-25 07:36:16
Africa,Mauritius,984014,57.552152,-20.348404,37,331,0,285,9,2020-04-25 07:36:16
South America,Ecuador,973006,-78.183406,-1.831239,10122,11183,0,501,560,2020-04-25 07:36:16
Africa,Togo,982016,0.824782,8.619543,25,90,0,59,6,2020-04-25 07:36:16
Asia,Malaysia,952007,101.975766,4.210484,1932,5691,0,3663,96,2020-04-25 07:36:16
North America,Guatemala,972004,-90.230759,15.783471,332,342,0,0,10,2020-04-25 07:36:16
Africa,Liberia,982009,-9.429499,6.428055,84,117,0,25,8,2020-04-25 07:36:16
Europe,Ukraine,964007,31.16558,48.379433,6853,7647,0,601,193,2020-04-25 07:36:16
Europe,Sweden,962005,18.643501,60.128161,14978,17678,0,541,2159,2020-04-25 07:36:16
North America,Trinidad and Tobago,974013,-61.222503,10.691803,107,115,0,0,8,2020-04-25 07:36:16
Europe,Estonia,964002,25.013607,58.595272,1367,1605,0,192,46,2020-04-25 07:36:16
Europe,Portugal,965010,-8.224454,39.399872,20715,22797,0,1228,854,2020-04-25 07:36:16
North America,Panama,972007,-80.782127,8.537981,4844,4992,0,4,144,2020-04-25 07:36:16
Asia,Iraq,955008,43.679291,33.223191,418,1708,0,1204,86,2020-04-25 07:36:16
Asia,Armenia,955002,45.038189,40.069099,841,1596,0,728,27,2020-04-25 07:36:16
Asia,Georgia,955006,43.356892,42.315407,312,431,0,114,5,2020-04-25 07:36:16
Europe,Ireland,961003,-8.24389,53.41291,7937,18184,0,9233,1014,2020-04-25 07:36:16
Europe,Croatia,965005,15.2,45.1,976,2009,0,982,51,2020-04-25 07:36:16
Europe,Gibraltar,0,-5.345374,36.137741,132,133,0,0,1,2020-04-25 07:36:16
South America,French Guiana,0,-53.125782,3.933889,106,107,0,0,1,2020-04-25 07:36:16
Asia,Jordan,955010,36.238414,30.585164,108,441,0,326,7,2020-04-25 07:36:16
Africa,Djibouti,985002,42.590275,11.825138,667,999,0,330,2,2020-04-25 07:36:16
Africa,Nigeria,982013,8.675277,9.081999,855,1095,0,208,32,2020-04-25 07:36:16
Europe,Moldova,964005,28.369885,47.411631,2341,2926,0,505,80,2020-04-25 07:36:16
South America,Peru,973008,-75.015152,-9.189967,13518,21648,0,7496,634,2020-04-25 07:36:16
Oceania,Guam,0,144.793731,13.444304,131,136,0,0,5,2020-04-25 07:36:16
Africa,Sierra Leone,982015,-11.779889,8.460555,69,82,0,10,3,2020-04-25 07:36:16
North America,Dominican Republic,974006,-70.162651,18.735693,5278,5543,0,0,265,2020-04-25 07:36:16
Asia,Azerbaijan,955003,47.576927,40.143105,558,1592,0,1013,21,2020-04-25 07:36:16
Asia,Qatar,955015,51.183884,25.354826,7706,8525,0,809,10,2020-04-25 07:36:16
Europe,Luxembourg,961004,6.129583,49.815273,3369,3695,0,241,85,2020-04-25 07:36:16
South America,Argentina,973001,-63.616672,-38.416097,2533,3435,0,737,165,2020-04-25 07:36:16
Europe,Lithuania,964004,23.881275,55.169438,938,1410,0,430,42,2020-04-25 07:36:16
